ENSEMBL,gene_symbol,gene_name,baseMean,log2FoldChange,foldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5,Gnai3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3",4303.5817380685885,-0.10996942165852311,0.9266077014022792,0.04793105757627933,-2.2943249579568223,0.021771840018142006,0.1222740903476069
ENSMUSG00000000028.16,Cdc45,cell division cycle 45,34.05522527952273,-0.042591069649304175,0.9709096340570262,0.21595620642701574,-0.19722086414635273,0.8436547040280944,0.9421591611204859
ENSMUSG00000000031.17,H19,"H19, imprinted maternally expressed transcript",11.059092614295333,1.344740803855271,2.5398456126864124,0.5615606149024696,2.3946494254922457,0.016636263208302197,0.10297826446337244
ENSMUSG00000000037.18,Scml2,Scm polycomb group protein like 2,1.2989288580071547,-0.05838206010632984,0.960340509170304,1.0678456283347593,-0.054672752837292726,0.9563991769711216,NA
ENSMUSG00000000049.12,Apoh,apolipoprotein H,77745.58899898616,-0.08609605431183814,0.9420685491042902,0.0465456810534954,-1.849710915452867,0.06435522641729392,0.24695927893871397
ENSMUSG00000000056.8,Narf,nuclear prelamin A recognition factor,1904.7694329192916,0.3052128911222717,1.2356009549828362,0.11685605546934548,2.611870560720213,0.009004834067795234,0.06717998116354655
ENSMUSG00000000058.7,Cav2,caveolin 2,162.21178695591357,0.3217418769449773,1.2498386648603395,0.10998504196160679,2.9253239459352107,0.0034409781617158537,0.033705945174989385
ENSMUSG00000000078.8,Klf6,Kruppel-like factor 6,1075.2581222759525,-0.2967129212356671,0.8141051659791175,0.1845890001522979,-1.6074247164828874,0.10796123174138778,0.33979363613056357
ENSMUSG00000000085.17,Scmh1,sex comb on midleg homolog 1,178.0191618039286,-0.26357488923858813,0.8330211963488227,0.15620827523135414,-1.68732987319793,0.09153993988746627,0.3076141664518665
ENSMUSG00000000088.8,Cox5a,cytochrome c oxidase subunit 5A,3424.2742714928945,-0.06458429737697821,0.956220806330218,0.04902010450059435,-1.3175063177638706,0.1876689647763202,0.46685861093035025
ENSMUSG00000000093.7,Tbx2,T-box 2,97.12015087947447,-0.28881856061690053,0.8185721221830481,0.12929451969673672,-2.233803577246206,0.0254960000758233,0.1356160652834254
ENSMUSG00000000094.13,Tbx4,T-box 4,0.5145039886003197,1.3080374135199893,2.4760447922998172,1.9808096977910825,0.6603549119224622,0.509026099241567,NA
ENSMUSG00000000120.7,Ngfr,"nerve growth factor receptor (TNFR superfamily, member 16)",88.58616053034267,-0.4080762501128952,0.7536276225843983,0.13812575433769042,-2.9543820561893814,0.0031329588192103796,0.03146516896657029
ENSMUSG00000000126.12,Wnt9a,"wingless-type MMTV integration site family, member 9A",10.947003103863363,-0.05179279110799776,0.9647367361626811,0.3183839039423727,-0.16267402486958707,0.8707750996851975,0.9533780213928876
